Model,Model Type,Metric,Sample,Noise,Experiment,Dimension,Separability,Dependence,K,L,Avg Value,Std Value
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,with noise,2d-low-weak,2,low,weak,2,1,55393.7923373,238.5653774939483
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,with noise,3d-high-ind,3,high,ind,2,1,90964.2101189,250.4719090629017
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,with noise,3d-high-strong,3,high,strong,2,1,92171.0513193,311.4906622581903
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,with noise,3d-high-weak,3,high,weak,2,1,91550.6657694,250.3841093907676
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,with noise,3d-low-ind,3,low,ind,2,1,82264.861483,262.4064157465543
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,with noise,3d-low-strong,3,low,strong,2,1,81312.2108227,346.5811900356192
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,with noise,3d-low-weak,3,low,weak,2,1,82154.9408158,266.3184317362277
"(2,1)-Isolated Two-layer MoM",isomom,aic,out of sample,no noise,2d-high-ind,2,high,ind,2,1,15572.7045497,96.11250122076454
"(2,1)-Isolated Two-layer MoM",isomom,aic,out of sample,no noise,2d-high-strong,2,high,strong,2,1,15745.1878957,100.3734410473047
"(2,1)-Isolated Two-layer MoM",isomom,aic,out of sample,no noise,2d-high-weak,2,high,weak,2,1,15680.0882322,106.4530617606454
"(2,1)-Isolated Two-layer MoM",isomom,aic,out of sample,no noise,2d-low-ind,2,low,ind,2,1,13777.8100447,104.9971754261297
"(2,1)-Isolated Two-layer MoM",isomom,aic,out of sample,no noise,2d-low-strong,2,low,strong,2,1,13590.2097801,109.8062809214024
"(2,1)-Isolated Two-layer MoM",isomom,aic,out of sample,no noise,2d-low-weak,2,low,weak,2,1,13751.6640099,110.1647583889702
"(2,1)-Isolated Two-layer MoM",isomom,aic,out of sample,no noise,3d-high-ind,3,high,ind,2,1,22534.4872376,146.639830213241
"(2,1)-Isolated Two-layer MoM",isomom,aic,out of sample,no noise,3d-high-strong,3,high,strong,2,1,22838.8596478,162.0042674745742
"(2,1)-Isolated Two-layer MoM",isomom,aic,out of sample,no noise,3d-high-weak,3,high,weak,2,1,22688.4742542,145.8913896448666
"(2,1)-Isolated Two-layer MoM",isomom,aic,out of sample,no noise,3d-low-ind,3,low,ind,2,1,20388.9068114,156.0596917230711
"(2,1)-Isolated Two-layer MoM",isomom,aic,out of sample,no noise,3d-low-strong,3,low,strong,2,1,20131.5094933,181.0186839455076
"(2,1)-Isolated Two-layer MoM",isomom,aic,out of sample,no noise,3d-low-weak,3,low,weak,2,1,20361.9062457,160.2782221215249
"(2,1)-Isolated Two-layer MoM",isomom,aic,out of sample,with noise,2d-high-ind,2,high,ind,2,1,15711.8394522,94.98011940252371
"(2,1)-Isolated Two-layer MoM",isomom,aic,out of sample,with noise,2d-high-strong,2,high,strong,2,1,15873.8088844,100.3703827907871
"(2,1)-Isolated Two-layer MoM",isomom,aic,out of sample,with noise,2d-high-weak,2,high,weak,2,1,15813.3440696,106.6521485035823
"(2,1)-Isolated Two-layer MoM",isomom,aic,out of sample,with noise,2d-low-ind,2,low,ind,2,1,13904.0450602,105.5983624575278
"(2,1)-Isolated Two-layer MoM",isomom,aic,out of sample,with noise,2d-low-strong,2,low,strong,2,1,13723.7995862,108.9179348136227
"(2,1)-Isolated Two-layer MoM",isomom,aic,out of sample,with noise,2d-low-weak,2,low,weak,2,1,13878.2765741,109.7215411990735
"(2,1)-Isolated Two-layer MoM",isomom,aic,out of sample,with noise,3d-high-ind,3,high,ind,2,1,22785.83613,144.4996012973049
"(2,1)-Isolated Two-layer MoM",isomom,aic,out of sample,with noise,3d-high-strong,3,high,strong,2,1,23075.8174891,160.3461901495241
"(2,1)-Isolated Two-layer MoM",isomom,aic,out of sample,with noise,3d-high-weak,3,high,weak,2,1,22933.9707654,142.9564206067145
"(2,1)-Isolated Two-layer MoM",isomom,aic,out of sample,with noise,3d-low-ind,3,low,ind,2,1,20602.3285893,152.613334626351
"(2,1)-Isolated Two-layer MoM",isomom,aic,out of sample,with noise,3d-low-strong,3,low,strong,2,1,20356.5953119,179.7993852253113
"(2,1)-Isolated Two-layer MoM",isomom,aic,out of sample,with noise,3d-low-weak,3,low,weak,2,1,20575.9958422,157.7107466648174
"(2,1)-Isolated Two-layer MoM",isomom,ari,in sample,no noise,2d-high-ind,2,high,ind,2,1,0.3115769,0.007623042910952434
"(2,1)-Isolated Two-layer MoM",isomom,ari,in sample,no noise,2d-high-strong,2,high,strong,2,1,0.3122521,0.007100342187656739
"(2,1)-Isolated Two-layer MoM",isomom,ari,in sample,no noise,2d-high-weak,2,high,weak,2,1,0.3120632,0.007311881002722879
"(2,1)-Isolated Two-layer MoM",isomom,ari,in sample,no noise,2d-low-ind,2,low,ind,2,1,0.0035635,0.001652124053722628
"(2,1)-Isolated Two-layer MoM",isomom,ari,in sample,no noise,2d-low-strong,2,low,strong,2,1,0.0036078,0.00188589425242062
"(2,1)-Isolated Two-layer MoM",isomom,ari,in sample,no noise,2d-low-weak,2,low,weak,2,1,0.0036456,0.001881186129155021
"(2,1)-Isolated Two-layer MoM",isomom,ari,in sample,no noise,3d-high-ind,3,high,ind,2,1,0.3465773,0.00654626516311848
"(2,1)-Isolated Two-layer MoM",isomom,ari,in sample,no noise,3d-high-strong,3,high,strong,2,1,0.3461367,0.007707294990507832
"(2,1)-Isolated Two-layer MoM",isomom,ari,in sample,no noise,3d-high-weak,3,high,weak,2,1,0.3460768,0.007760989846272145
"(2,1)-Isolated Two-layer MoM",isomom,ari,in sample,no noise,3d-low-ind,3,low,ind,2,1,0.0038453,0.002295385117661922
"(2,1)-Isolated Two-layer MoM",isomom,ari,in sample,no noise,3d-low-strong,3,low,strong,2,1,0.0033853,0.001642454098185537
"(2,1)-Isolated Two-layer MoM",isomom,ari,in sample,no noise,3d-low-weak,3,low,weak,2,1,0.0033946,0.001720579195409723
"(2,1)-Isolated Two-layer MoM",isomom,ari,in sample,with noise,2d-high-ind,2,high,ind,2,1,0.30517,0.007685897619811382
"(2,1)-Isolated Two-layer MoM",isomom,ari,in sample,with noise,2d-high-strong,2,high,strong,2,1,0.3051415,0.007145108007185304
"(2,1)-Isolated Two-layer MoM",isomom,ari,in sample,with noise,2d-high-weak,2,high,weak,2,1,0.3053856,0.007281197775813058
"(2,1)-Isolated Two-layer MoM",isomom,ari,in sample,with noise,2d-low-ind,2,low,ind,2,1,0.0035474,0.001740650998618016
"(2,1)-Isolated Two-layer MoM",isomom,ari,in sample,with noise,2d-low-strong,2,low,strong,2,1,0.003584,0.001739425192412712
"(2,1)-Isolated Two-layer MoM",isomom,ari,in sample,with noise,2d-low-weak,2,low,weak,2,1,0.0036357,0.001849664045389887
"(2,1)-Isolated Two-layer MoM",isomom,ari,in sample,with noise,3d-high-ind,3,high,ind,2,1,0.3415635,0.006901185431035407
"(2,1)-Isolated Two-layer MoM",isomom,ari,in sample,with noise,3d-high-strong,3,high,strong,2,1,0.3411133,0.007483663562262231
"(2,1)-Isolated Two-layer MoM",isomom,ari,in sample,with noise,3d-high-weak,3,high,weak,2,1,0.3413304,0.007490353920782773
"(2,1)-Isolated Two-layer MoM",isomom,ari,in sample,with noise,3d-low-ind,3,low,ind,2,1,0.0038573,0.002110430974703958
"(2,1)-Isolated Two-layer MoM",isomom,ari,in sample,with noise,3d-low-strong,3,low,strong,2,1,0.0034436,0.001708699381330015
"(2,1)-Isolated Two-layer MoM",isomom,ari,in sample,with noise,3d-low-weak,3,low,weak,2,1,0.003449,0.001796047006201354
"(2,1)-Isolated Two-layer MoM",isomom,ari,out of sample,no noise,2d-high-ind,2,high,ind,2,1,0.3135312,0.01442669728333725
"(2,1)-Isolated Two-layer MoM",isomom,ari,out of sample,no noise,2d-high-strong,2,high,strong,2,1,0.3141544,0.01427698234533085
"(2,1)-Isolated Two-layer MoM",isomom,ari,out of sample,no noise,2d-high-weak,2,high,weak,2,1,0.314137,0.01455731906581148
"(2,1)-Isolated Two-layer MoM",isomom,ari,out of sample,no noise,2d-low-ind,2,low,ind,2,1,0.0035248,0.002736331496841357
"(2,1)-Isolated Two-layer MoM",isomom,ari,out of sample,no noise,2d-low-strong,2,low,strong,2,1,0.0033591,0.002437761058799237
"(2,1)-Isolated Two-layer MoM",isomom,ari,out of sample,no noise,2d-low-weak,2,low,weak,2,1,0.0034312,0.002495226667301413
"(2,1)-Isolated Two-layer MoM",isomom,ari,out of sample,no noise,3d-high-ind,3,high,ind,2,1,0.3485404,0.01622520902543916
"(2,1)-Isolated Two-layer MoM",isomom,ari,out of sample,no noise,3d-high-strong,3,high,strong,2,1,0.3475327,0.01620508000254515
"(2,1)-Isolated Two-layer MoM",isomom,ari,out of sample,no noise,3d-high-weak,3,high,weak,2,1,0.3476933,0.01592390040635507
"(2,1)-Isolated Two-layer MoM",isomom,ari,out of sample,no noise,3d-low-ind,3,low,ind,2,1,0.0035972,0.00265999471405262
"(2,1)-Isolated Two-layer MoM",isomom,ari,out of sample,no noise,3d-low-strong,3,low,strong,2,1,0.0033297,0.002575555428966104
"(2,1)-Isolated Two-layer MoM",isomom,ari,out of sample,no noise,3d-low-weak,3,low,weak,2,1,0.0034556,0.002653084471350509
"(2,1)-Isolated Two-layer MoM",isomom,ari,out of sample,with noise,2d-high-ind,2,high,ind,2,1,0.3064306,0.01433826031034703
"(2,1)-Isolated Two-layer MoM",isomom,ari,out of sample,with noise,2d-high-strong,2,high,strong,2,1,0.3074513,0.0142603037109766
"(2,1)-Isolated Two-layer MoM",isomom,ari,out of sample,with noise,2d-high-weak,2,high,weak,2,1,0.307162,0.01418187540133496
"(2,1)-Isolated Two-layer MoM",isomom,ari,out of sample,with noise,2d-low-ind,2,low,ind,2,1,0.0036178,0.002800313323017749
"(2,1)-Isolated Two-layer MoM",isomom,ari,out of sample,with noise,2d-low-strong,2,low,strong,2,1,0.0033844,0.002497787837428968
"(2,1)-Isolated Two-layer MoM",isomom,ari,out of sample,with noise,2d-low-weak,2,low,weak,2,1,0.003478,0.0026216927217492
"(2,1)-Isolated Two-layer MoM",isomom,ari,out of sample,with noise,3d-high-ind,3,high,ind,2,1,0.3435902,0.01498709249233277
"(2,1)-Isolated Two-layer MoM",isomom,ari,out of sample,with noise,3d-high-strong,3,high,strong,2,1,0.3415319,0.01593454310704586
"(2,1)-Isolated Two-layer MoM",isomom,ari,out of sample,with noise,3d-high-weak,3,high,weak,2,1,0.3423071,0.01627759123315041
"(2,1)-Isolated Two-layer MoM",isomom,ari,out of sample,with noise,3d-low-ind,3,low,ind,2,1,0.0035747,0.00294770290808681
"(2,1)-Isolated Two-layer MoM",isomom,ari,out of sample,with noise,3d-low-strong,3,low,strong,2,1,0.0032613,0.002564872121568638
"(2,1)-Isolated Two-layer MoM",isomom,ari,out of sample,with noise,3d-low-weak,3,low,weak,2,1,0.0033696,0.002617149316614271
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,in sample,no noise,2d-high-ind,2,high,ind,2,1,-3.8800222,0.0142362393300558
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,in sample,no noise,2d-high-strong,2,high,strong,2,1,-3.9282752,0.01529279565512776
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,in sample,no noise,2d-high-weak,2,high,weak,2,1,-3.9098765,0.0140247319335551
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,in sample,no noise,2d-low-ind,2,low,ind,2,1,-3.4337021,0.01502668893648693
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,in sample,no noise,2d-low-strong,2,low,strong,2,1,-3.3908813,0.01661127532701506
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,in sample,no noise,2d-low-weak,2,low,weak,2,1,-3.4284618,0.01473377089573744
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,in sample,no noise,3d-high-ind,3,high,ind,2,1,-5.6196313,0.01532462550204018
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,in sample,no noise,3d-high-strong,3,high,strong,2,1,-5.6979053,0.01904970009334688
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,in sample,no noise,3d-high-weak,3,high,weak,2,1,-5.657615,0.01513944633576582
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,in sample,no noise,3d-low-ind,3,low,ind,2,1,-5.0856724,0.01595451040498039
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,in sample,no noise,3d-low-strong,3,low,strong,2,1,-5.0222651,0.02128361002145665
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,in sample,no noise,3d-low-weak,3,low,weak,2,1,-5.0782423,0.01630520483641877
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,in sample,with noise,2d-high-ind,2,high,ind,2,1,-3.9143248,0.01418476245194758
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,in sample,with noise,2d-high-strong,2,high,strong,2,1,-3.9609076,0.01578439090373845
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,in sample,with noise,2d-high-weak,2,high,weak,2,1,-3.9433227,0.01427108787731407
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,in sample,with noise,2d-low-ind,2,low,ind,2,1,-3.4647557,0.01497830142728019
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,in sample,with noise,2d-low-strong,2,low,strong,2,1,-3.4246839,0.0170911866882947
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,in sample,with noise,2d-low-weak,2,low,weak,2,1,-3.4602371,0.01491001441611934
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,in sample,with noise,3d-high-ind,3,high,ind,2,1,-5.6821378,0.01565431793016187
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,in sample,with noise,3d-high-strong,3,high,strong,2,1,-5.757566000000001,0.01946838421231682
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,in sample,with noise,3d-high-weak,3,high,weak,2,1,-5.718791599999999,0.01564869141074388
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,in sample,with noise,3d-low-ind,3,low,ind,2,1,-5.1384286,0.01640054532352797
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,in sample,with noise,3d-low-strong,3,low,strong,2,1,-5.078888,0.02166184328595917
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,in sample,with noise,3d-low-weak,3,low,weak,2,1,-5.1315591,0.01664477726774764
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,out of sample,no noise,2d-high-ind,2,high,ind,2,1,-3.8856762,0.02402794508504843
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,out of sample,no noise,2d-high-strong,2,high,strong,2,1,-3.9287972,0.02509313987623884
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,out of sample,no noise,2d-high-weak,2,high,weak,2,1,-3.9125215,0.0266132725440719
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,out of sample,no noise,2d-low-ind,2,low,ind,2,1,-3.4369527,0.0262495327848753
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,out of sample,no noise,2d-low-strong,2,low,strong,2,1,-3.390052,0.02745163979205483
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,out of sample,no noise,2d-low-weak,2,low,weak,2,1,-3.4304158,0.02754110232970625
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,out of sample,no noise,3d-high-ind,3,high,ind,2,1,-5.6211214,0.03666002325546055
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,out of sample,no noise,3d-high-strong,3,high,strong,2,1,-5.6972148,0.04050127675952328
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,out of sample,no noise,3d-high-weak,3,high,weak,2,1,-5.6596181,0.03647277780202599
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,out of sample,no noise,3d-low-ind,3,low,ind,2,1,-5.0847264,0.03901475213145413
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,out of sample,no noise,3d-low-strong,3,low,strong,2,1,-5.0203774,0.04525442347082503
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,out of sample,no noise,3d-low-weak,3,low,weak,2,1,-5.0779764,0.04006940931267459
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,out of sample,with noise,2d-high-ind,2,high,ind,2,1,-3.92046,0.02374471858342522
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,out of sample,with noise,2d-high-strong,2,high,strong,2,1,-3.9609521,0.02509257712668405
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,out of sample,with noise,2d-high-weak,2,high,weak,2,1,-3.9458362,0.02666252376075702
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,out of sample,with noise,2d-low-ind,2,low,ind,2,1,-3.4685108,0.02639954471140928
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,out of sample,with noise,2d-low-strong,2,low,strong,2,1,-3.4234496,0.02722968348080167
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,out of sample,with noise,2d-low-weak,2,low,weak,2,1,-3.462069,0.02742993725067111
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,out of sample,with noise,3d-high-ind,3,high,ind,2,1,-5.6839586,0.03612523891836682
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,out of sample,with noise,3d-high-strong,3,high,strong,2,1,-5.756454,0.04008653261345629
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,out of sample,with noise,3d-high-weak,3,high,weak,2,1,-5.720992300000001,0.03573906562612226
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,out of sample,with noise,3d-low-ind,3,low,ind,2,1,-5.1380821,0.03815357542574063
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,out of sample,with noise,3d-low-strong,3,low,strong,2,1,-5.0766489,0.04495001149189188
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,out of sample,with noise,3d-low-weak,3,low,weak,2,1,-5.1314989,0.03942748277239717
"(2,1)-Isolated Two-layer MoM",isomom,bic,in sample,no noise,2d-high-ind,2,high,ind,2,1,62215.1538568,227.7764011094081
"(2,1)-Isolated Two-layer MoM",isomom,bic,in sample,no noise,2d-high-strong,2,high,strong,2,1,62987.214933,244.680551974532
"(2,1)-Isolated Two-layer MoM",isomom,bic,in sample,no noise,2d-high-weak,2,high,weak,2,1,62692.8347001,224.3913835358226
"(2,1)-Isolated Two-layer MoM",isomom,bic,in sample,no noise,2d-low-ind,2,low,ind,2,1,55074.0442634,240.4197710328746
"(2,1)-Isolated Two-layer MoM",isomom,bic,in sample,no noise,2d-low-strong,2,low,strong,2,1,54388.9076337,265.7767304061726
"(2,1)-Isolated Two-layer MoM",isomom,bic,in sample,no noise,2d-low-weak,2,low,weak,2,1,54990.1889466,235.7321872248597
"(2,1)-Isolated Two-layer MoM",isomom,bic,in sample,no noise,3d-high-ind,3,high,ind,2,1,90138.78639380001,245.1923222140899
"(2,1)-Isolated Two-layer MoM",isomom,bic,in sample,no noise,3d-high-strong,3,high,strong,2,1,91391.1686221,304.7971102588128
"(2,1)-Isolated Two-layer MoM",isomom,bic,in sample,no noise,3d-high-weak,3,high,weak,2,1,90746.5202795,242.2276225475551
"(2,1)-Isolated Two-layer MoM",isomom,bic,in sample,no noise,3d-low-ind,3,low,ind,2,1,81595.4251888,255.2743350571967
"(2,1)-Isolated Two-layer MoM",isomom,bic,in sample,no noise,3d-low-strong,3,low,strong,2,1,80580.9283812,340.540713892081
"(2,1)-Isolated Two-layer MoM",isomom,bic,in sample,no noise,3d-low-weak,3,low,weak,2,1,81476.5656611,260.8842379133674
"(2,1)-Isolated Two-layer MoM",isomom,bic,in sample,with noise,2d-high-ind,2,high,ind,2,1,62764.0060542,226.9526902202114
"(2,1)-Isolated Two-layer MoM",isomom,bic,in sample,with noise,2d-high-strong,2,high,strong,2,1,63509.3218029,252.5518244518647
"(2,1)-Isolated Two-layer MoM",isomom,bic,in sample,with noise,2d-high-weak,2,high,weak,2,1,63227.9733403,228.3383192388258
"(2,1)-Isolated Two-layer MoM",isomom,bic,in sample,with noise,2d-low-ind,2,low,ind,2,1,55570.8923163,239.6508982357939
"(2,1)-Isolated Two-layer MoM",isomom,bic,in sample,with noise,2d-low-strong,2,low,strong,2,1,54929.74152359999,273.4622612342077
"(2,1)-Isolated Two-layer MoM",isomom,bic,in sample,with noise,2d-low-weak,2,low,weak,2,1,55498.60028989999,238.5653774399428
"(2,1)-Isolated Two-layer MoM",isomom,bic,in sample,with noise,3d-high-ind,3,high,ind,2,1,91138.89003909999,250.4719091881644
"(2,1)-Isolated Two-layer MoM",isomom,bic,in sample,with noise,3d-high-strong,3,high,strong,2,1,92345.7312398,311.4906626261396
"(2,1)-Isolated Two-layer MoM",isomom,bic,in sample,with noise,3d-high-weak,3,high,weak,2,1,91725.3456895,250.3841094435045
"(2,1)-Isolated Two-layer MoM",isomom,bic,in sample,with noise,3d-low-ind,3,low,ind,2,1,82439.5414032,262.4064157494674
"(2,1)-Isolated Two-layer MoM",isomom,bic,in sample,with noise,3d-low-strong,3,low,strong,2,1,81486.8907431,346.5811900282516
"(2,1)-Isolated Two-layer MoM",isomom,bic,in sample,with noise,3d-low-weak,3,low,weak,2,1,82329.6207363,266.3184317348047
"(2,1)-Isolated Two-layer MoM",isomom,bic,out of sample,no noise,2d-high-ind,2,high,ind,2,1,15656.7180863,96.11250151475697
"(2,1)-Isolated Two-layer MoM",isomom,bic,out of sample,no noise,2d-high-strong,2,high,strong,2,1,15829.2014324,100.3734401003812
"(2,1)-Isolated Two-layer MoM",isomom,bic,out of sample,no noise,2d-high-weak,2,high,weak,2,1,15764.1017691,106.4530612426233
"(2,1)-Isolated Two-layer MoM",isomom,bic,out of sample,no noise,2d-low-ind,2,low,ind,2,1,13861.823582,104.9971751949506
"(2,1)-Isolated Two-layer MoM",isomom,bic,out of sample,no noise,2d-low-strong,2,low,strong,2,1,13674.2233162,109.8062815275012
"(2,1)-Isolated Two-layer MoM",isomom,bic,out of sample,no noise,2d-low-weak,2,low,weak,2,1,13835.6775469,110.1647581613303
"(2,1)-Isolated Two-layer MoM",isomom,bic,out of sample,no noise,3d-high-ind,3,high,ind,2,1,22674.5097992,146.639830400711
"(2,1)-Isolated Two-layer MoM",isomom,bic,out of sample,no noise,3d-high-strong,3,high,strong,2,1,22978.8822097,162.0042680154104
"(2,1)-Isolated Two-layer MoM",isomom,bic,out of sample,no noise,3d-high-weak,3,high,weak,2,1,22828.4968162,145.8913888532984
"(2,1)-Isolated Two-layer MoM",isomom,bic,out of sample,no noise,3d-low-ind,3,low,ind,2,1,20528.9293732,156.0596921764766
"(2,1)-Isolated Two-layer MoM",isomom,bic,out of sample,no noise,3d-low-strong,3,low,strong,2,1,20271.5320543,181.0186838867498
"(2,1)-Isolated Two-layer MoM",isomom,bic,out of sample,no noise,3d-low-weak,3,low,weak,2,1,20501.9288076,160.2782226553658
"(2,1)-Isolated Two-layer MoM",isomom,bic,out of sample,with noise,2d-high-ind,2,high,ind,2,1,15795.8529892,94.98011920863537
"(2,1)-Isolated Two-layer MoM",isomom,bic,out of sample,with noise,2d-high-strong,2,high,strong,2,1,15957.8224208,100.3703835907779
"(2,1)-Isolated Two-layer MoM",isomom,bic,out of sample,with noise,2d-high-weak,2,high,weak,2,1,15897.357607,106.6521490841458
"(2,1)-Isolated Two-layer MoM",isomom,bic,out of sample,with noise,2d-low-ind,2,low,ind,2,1,13988.0585979,105.5983621905232
"(2,1)-Isolated Two-layer MoM",isomom,bic,out of sample,with noise,2d-low-strong,2,low,strong,2,1,13807.813123,108.9179349989399
"(2,1)-Isolated Two-layer MoM",isomom,bic,out of sample,with noise,2d-low-weak,2,low,weak,2,1,13962.2901101,109.7215411234331
"(2,1)-Isolated Two-layer MoM",isomom,bic,out of sample,with noise,3d-high-ind,3,high,ind,2,1,22925.8586917,144.4996010722866
"(2,1)-Isolated Two-layer MoM",isomom,bic,out of sample,with noise,3d-high-strong,3,high,strong,2,1,23215.8400505,160.3461903959158
"(2,1)-Isolated Two-layer MoM",isomom,bic,out of sample,with noise,3d-high-weak,3,high,weak,2,1,23073.9933271,142.9564208173012
"(2,1)-Isolated Two-layer MoM",isomom,bic,out of sample,with noise,3d-low-ind,3,low,ind,2,1,20742.3511511,152.6133350197703
"(2,1)-Isolated Two-layer MoM",isomom,bic,out of sample,with noise,3d-low-strong,3,low,strong,2,1,20496.6178737,179.7993850816686
"(2,1)-Isolated Two-layer MoM",isomom,bic,out of sample,with noise,3d-low-weak,3,low,weak,2,1,20716.0184038,157.7107465786626
"(2,1)-Isolated Two-layer MoM",isomom,em_iters,training,no noise,2d-high-ind,2,high,ind,2,1,21.01,0.6741249472052231
"(2,1)-Isolated Two-layer MoM",isomom,em_iters,training,no noise,2d-high-strong,2,high,strong,2,1,20.96,0.7095310729167137
"(2,1)-Isolated Two-layer MoM",isomom,em_iters,training,no noise,2d-high-weak,2,high,weak,2,1,21.0,0.6963106238227914
"(2,1)-Isolated Two-layer MoM",isomom,em_iters,training,no noise,2d-low-ind,2,low,ind,2,1,27.54,1.048519880304584
"(2,1)-Isolated Two-layer MoM",isomom,em_iters,training,no noise,2d-low-strong,2,low,strong,2,1,27.54,1.009250146686071
