Model,Model Type,Metric,Sample,Noise,Experiment,Dimension,Separability,Dependence,K,L,Avg Value,Std Value
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,with noise,3d-high-weak,3,high,weak,2,1,91550.6657694,250.38410939076758
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,with noise,3d-low-ind,3,low,ind,2,1,82264.861483,262.40641574655433
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,with noise,3d-low-strong,3,low,strong,2,1,81312.2108227,346.58119003561916
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,with noise,3d-low-weak,3,low,weak,2,1,82154.9408158,266.3184317362277
"(2,1)-Isolated Two-layer MoM",isomom,aic,out of sample,no noise,2d-high-ind,2,high,ind,2,1,15572.7045497,96.11250122076454
"(2,1)-Isolated Two-layer MoM",isomom,aic,out of sample,no noise,2d-high-strong,2,high,strong,2,1,15745.1878957,100.37344104730465
"(2,1)-Isolated Two-layer MoM",isomom,aic,out of sample,no noise,2d-high-weak,2,high,weak,2,1,15680.0882322,106.45306176064543
"(2,1)-Isolated Two-layer MoM",isomom,aic,out of sample,no noise,2d-low-ind,2,low,ind,2,1,13777.8100447,104.99717542612966
"(2,1)-Isolated Two-layer MoM",isomom,aic,out of sample,no noise,2d-low-strong,2,low,strong,2,1,13590.2097801,109.80628092140242
"(2,1)-Isolated Two-layer MoM",isomom,aic,out of sample,no noise,2d-low-weak,2,low,weak,2,1,13751.6640099,110.16475838897024
"(2,1)-Isolated Two-layer MoM",isomom,aic,out of sample,no noise,3d-high-ind,3,high,ind,2,1,22534.4872376,146.639830213241
"(2,1)-Isolated Two-layer MoM",isomom,aic,out of sample,no noise,3d-high-strong,3,high,strong,2,1,22838.8596478,162.00426747457425
"(2,1)-Isolated Two-layer MoM",isomom,aic,out of sample,no noise,3d-high-weak,3,high,weak,2,1,22688.474254200002,145.89138964486662
"(2,1)-Isolated Two-layer MoM",isomom,aic,out of sample,no noise,3d-low-ind,3,low,ind,2,1,20388.9068114,156.05969172307113
"(2,1)-Isolated Two-layer MoM",isomom,aic,out of sample,no noise,3d-low-strong,3,low,strong,2,1,20131.5094933,181.0186839455076
"(2,1)-Isolated Two-layer MoM",isomom,aic,out of sample,no noise,3d-low-weak,3,low,weak,2,1,20361.9062457,160.27822212152495
"(2,1)-Isolated Two-layer MoM",isomom,aic,out of sample,with noise,2d-high-ind,2,high,ind,2,1,15711.839452200002,94.98011940252371
"(2,1)-Isolated Two-layer MoM",isomom,aic,out of sample,with noise,2d-high-strong,2,high,strong,2,1,15873.8088844,100.37038279078712
"(2,1)-Isolated Two-layer MoM",isomom,aic,out of sample,with noise,2d-high-weak,2,high,weak,2,1,15813.3440696,106.65214850358232
"(2,1)-Isolated Two-layer MoM",isomom,aic,out of sample,with noise,2d-low-ind,2,low,ind,2,1,13904.0450602,105.59836245752776
"(2,1)-Isolated Two-layer MoM",isomom,aic,out of sample,with noise,2d-low-strong,2,low,strong,2,1,13723.799586199999,108.9179348136227
"(2,1)-Isolated Two-layer MoM",isomom,aic,out of sample,with noise,2d-low-weak,2,low,weak,2,1,13878.2765741,109.72154119907354
"(2,1)-Isolated Two-layer MoM",isomom,aic,out of sample,with noise,3d-high-ind,3,high,ind,2,1,22785.83613,144.49960129730488
"(2,1)-Isolated Two-layer MoM",isomom,aic,out of sample,with noise,3d-high-strong,3,high,strong,2,1,23075.8174891,160.34619014952415
"(2,1)-Isolated Two-layer MoM",isomom,aic,out of sample,with noise,3d-high-weak,3,high,weak,2,1,22933.970765399998,142.95642060671446
"(2,1)-Isolated Two-layer MoM",isomom,aic,out of sample,with noise,3d-low-ind,3,low,ind,2,1,20602.3285893,152.61333462635102
"(2,1)-Isolated Two-layer MoM",isomom,aic,out of sample,with noise,3d-low-strong,3,low,strong,2,1,20356.5953119,179.7993852253113
"(2,1)-Isolated Two-layer MoM",isomom,aic,out of sample,with noise,3d-low-weak,3,low,weak,2,1,20575.9958422,157.7107466648174
"(2,1)-Isolated Two-layer MoM",isomom,ari,in sample,no noise,2d-high-ind,2,high,ind,2,1,0.3293678,0.0076144237901869995
"(2,1)-Isolated Two-layer MoM",isomom,ari,in sample,no noise,2d-high-strong,2,high,strong,2,1,0.302453,0.00861747830419273
"(2,1)-Isolated Two-layer MoM",isomom,ari,in sample,no noise,2d-high-weak,2,high,weak,2,1,0.3355981,0.007627796151662233
"(2,1)-Isolated Two-layer MoM",isomom,ari,in sample,no noise,2d-low-ind,2,low,ind,2,1,0.0038001999999999997,0.0017731761037611282
"(2,1)-Isolated Two-layer MoM",isomom,ari,in sample,no noise,2d-low-strong,2,low,strong,2,1,0.0023003999999999998,0.0010280637090662181
"(2,1)-Isolated Two-layer MoM",isomom,ari,in sample,no noise,2d-low-weak,2,low,weak,2,1,0.0031254,0.0015576993006068637
"(2,1)-Isolated Two-layer MoM",isomom,ari,in sample,no noise,3d-high-ind,3,high,ind,2,1,0.36396639999999997,0.006735485632608137
"(2,1)-Isolated Two-layer MoM",isomom,ari,in sample,no noise,3d-high-strong,3,high,strong,2,1,0.3617818,0.009119777086146889
"(2,1)-Isolated Two-layer MoM",isomom,ari,in sample,no noise,3d-high-weak,3,high,weak,2,1,0.37364339999999996,0.007171710447827263
"(2,1)-Isolated Two-layer MoM",isomom,ari,in sample,no noise,3d-low-ind,3,low,ind,2,1,0.0042833,0.002539060533728842
"(2,1)-Isolated Two-layer MoM",isomom,ari,in sample,no noise,3d-low-strong,3,low,strong,2,1,0.0023721999999999997,0.0010972882828853936
"(2,1)-Isolated Two-layer MoM",isomom,ari,in sample,no noise,3d-low-weak,3,low,weak,2,1,0.0029548,0.0015442081295844639
"(2,1)-Isolated Two-layer MoM",isomom,ari,in sample,with noise,2d-high-ind,2,high,ind,2,1,0.3234714,0.008168953794765284
"(2,1)-Isolated Two-layer MoM",isomom,ari,in sample,with noise,2d-high-strong,2,high,strong,2,1,0.29530809999999996,0.008665576585874519
"(2,1)-Isolated Two-layer MoM",isomom,ari,in sample,with noise,2d-high-weak,2,high,weak,2,1,0.32905070000000003,0.007649484600714326
"(2,1)-Isolated Two-layer MoM",isomom,ari,in sample,with noise,2d-low-ind,2,low,ind,2,1,0.0037830999999999997,0.0018276195783675346
"(2,1)-Isolated Two-layer MoM",isomom,ari,in sample,with noise,2d-low-strong,2,low,strong,2,1,0.0023149,0.0010231990781540776
"(2,1)-Isolated Two-layer MoM",isomom,ari,in sample,with noise,2d-low-weak,2,low,weak,2,1,0.0031341999999999997,0.0015915459608363642
"(2,1)-Isolated Two-layer MoM",isomom,ari,in sample,with noise,3d-high-ind,3,high,ind,2,1,0.359396,0.0068713526229329
"(2,1)-Isolated Two-layer MoM",isomom,ari,in sample,with noise,3d-high-strong,3,high,strong,2,1,0.3570951,0.008747595513203974
"(2,1)-Isolated Two-layer MoM",isomom,ari,in sample,with noise,3d-high-weak,3,high,weak,2,1,0.369411,0.007489467958608966
"(2,1)-Isolated Two-layer MoM",isomom,ari,in sample,with noise,3d-low-ind,3,low,ind,2,1,0.0043186000000000006,0.0023393515548052407
"(2,1)-Isolated Two-layer MoM",isomom,ari,in sample,with noise,3d-low-strong,3,low,strong,2,1,0.0022877,0.001059837852092136
"(2,1)-Isolated Two-layer MoM",isomom,ari,in sample,with noise,3d-low-weak,3,low,weak,2,1,0.0029923,0.0015445936048166212
"(2,1)-Isolated Two-layer MoM",isomom,ari,out of sample,no noise,2d-high-ind,2,high,ind,2,1,0.3312943,0.01426856750683018
"(2,1)-Isolated Two-layer MoM",isomom,ari,out of sample,no noise,2d-high-strong,2,high,strong,2,1,0.304394,0.01446613377038337
"(2,1)-Isolated Two-layer MoM",isomom,ari,out of sample,no noise,2d-high-weak,2,high,weak,2,1,0.3380541,0.014287117393800694
"(2,1)-Isolated Two-layer MoM",isomom,ari,out of sample,no noise,2d-low-ind,2,low,ind,2,1,0.0037289,0.0027641397350256143
"(2,1)-Isolated Two-layer MoM",isomom,ari,out of sample,no noise,2d-low-strong,2,low,strong,2,1,0.0023547999999999998,0.0018871899263671952
"(2,1)-Isolated Two-layer MoM",isomom,ari,out of sample,no noise,2d-low-weak,2,low,weak,2,1,0.0029427,0.002320737367582323
"(2,1)-Isolated Two-layer MoM",isomom,ari,out of sample,no noise,3d-high-ind,3,high,ind,2,1,0.3665899,0.015552945772814908
"(2,1)-Isolated Two-layer MoM",isomom,ari,out of sample,no noise,3d-high-strong,3,high,strong,2,1,0.36353749999999996,0.0157515766326467
"(2,1)-Isolated Two-layer MoM",isomom,ari,out of sample,no noise,3d-high-weak,3,high,weak,2,1,0.3754795,0.015601767341936593
"(2,1)-Isolated Two-layer MoM",isomom,ari,out of sample,no noise,3d-low-ind,3,low,ind,2,1,0.004181,0.003038396872621409
"(2,1)-Isolated Two-layer MoM",isomom,ari,out of sample,no noise,3d-low-strong,3,low,strong,2,1,0.0022008,0.0016858062723453095
"(2,1)-Isolated Two-layer MoM",isomom,ari,out of sample,no noise,3d-low-weak,3,low,weak,2,1,0.0029349999999999997,0.0022744365491614875
"(2,1)-Isolated Two-layer MoM",isomom,ari,out of sample,with noise,2d-high-ind,2,high,ind,2,1,0.3245924,0.014743480197132302
"(2,1)-Isolated Two-layer MoM",isomom,ari,out of sample,with noise,2d-high-strong,2,high,strong,2,1,0.2975144,0.01456839628591405
"(2,1)-Isolated Two-layer MoM",isomom,ari,out of sample,with noise,2d-high-weak,2,high,weak,2,1,0.33094,0.014497740123442298
"(2,1)-Isolated Two-layer MoM",isomom,ari,out of sample,with noise,2d-low-ind,2,low,ind,2,1,0.0038401000000000004,0.00283248347147192
"(2,1)-Isolated Two-layer MoM",isomom,ari,out of sample,with noise,2d-low-strong,2,low,strong,2,1,0.0023574,0.0020131560327309984
"(2,1)-Isolated Two-layer MoM",isomom,ari,out of sample,with noise,2d-low-weak,2,low,weak,2,1,0.0029973,0.0023730710848470955
"(2,1)-Isolated Two-layer MoM",isomom,ari,out of sample,with noise,3d-high-ind,3,high,ind,2,1,0.3634097,0.014865139917187992
"(2,1)-Isolated Two-layer MoM",isomom,ari,out of sample,with noise,3d-high-strong,3,high,strong,2,1,0.35842820000000003,0.01591305857121468
"(2,1)-Isolated Two-layer MoM",isomom,ari,out of sample,with noise,3d-high-weak,3,high,weak,2,1,0.3708029,0.01514062855099456
"(2,1)-Isolated Two-layer MoM",isomom,ari,out of sample,with noise,3d-low-ind,3,low,ind,2,1,0.0040104,0.0031455207595062606
"(2,1)-Isolated Two-layer MoM",isomom,ari,out of sample,with noise,3d-low-strong,3,low,strong,2,1,0.0020109,0.0015542207732884067
"(2,1)-Isolated Two-layer MoM",isomom,ari,out of sample,with noise,3d-low-weak,3,low,weak,2,1,0.0029842999999999996,0.002147397417029895
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,in sample,no noise,2d-high-ind,2,high,ind,2,1,-3.8800222000000004,0.014236239330055802
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,in sample,no noise,2d-high-strong,2,high,strong,2,1,-3.9282752,0.015292795655127756
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,in sample,no noise,2d-high-weak,2,high,weak,2,1,-3.9098764999999998,0.0140247319335551
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,in sample,no noise,2d-low-ind,2,low,ind,2,1,-3.4337020999999996,0.015026688936486931
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,in sample,no noise,2d-low-strong,2,low,strong,2,1,-3.3908812999999998,0.016611275327015056
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,in sample,no noise,2d-low-weak,2,low,weak,2,1,-3.4284618,0.014733770895737444
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,in sample,no noise,3d-high-ind,3,high,ind,2,1,-5.6196313,0.015324625502040183
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,in sample,no noise,3d-high-strong,3,high,strong,2,1,-5.6979052999999995,0.019049700093346878
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,in sample,no noise,3d-high-weak,3,high,weak,2,1,-5.657615,0.015139446335765822
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,in sample,no noise,3d-low-ind,3,low,ind,2,1,-5.0856724,0.015954510404980388
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,in sample,no noise,3d-low-strong,3,low,strong,2,1,-5.0222651,0.021283610021456654
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,in sample,no noise,3d-low-weak,3,low,weak,2,1,-5.0782423,0.016305204836418775
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,in sample,with noise,2d-high-ind,2,high,ind,2,1,-3.9143248,0.014184762451947582
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,in sample,with noise,2d-high-strong,2,high,strong,2,1,-3.9609076,0.015784390903738447
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,in sample,with noise,2d-high-weak,2,high,weak,2,1,-3.9433227,0.014271087877314074
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,in sample,with noise,2d-low-ind,2,low,ind,2,1,-3.4647557,0.014978301427280193
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,in sample,with noise,2d-low-strong,2,low,strong,2,1,-3.4246839,0.017091186688294697
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,in sample,with noise,2d-low-weak,2,low,weak,2,1,-3.4602371,0.01491001441611934
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,in sample,with noise,3d-high-ind,3,high,ind,2,1,-5.6821378000000005,0.015654317930161872
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,in sample,with noise,3d-high-strong,3,high,strong,2,1,-5.757566000000001,0.019468384212316822
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,in sample,with noise,3d-high-weak,3,high,weak,2,1,-5.718791599999999,0.015648691410743876
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,in sample,with noise,3d-low-ind,3,low,ind,2,1,-5.1384286,0.016400545323527974
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,in sample,with noise,3d-low-strong,3,low,strong,2,1,-5.078888,0.02166184328595917
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,in sample,with noise,3d-low-weak,3,low,weak,2,1,-5.1315591,0.016644777267747636
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,out of sample,no noise,2d-high-ind,2,high,ind,2,1,-3.8856762,0.02402794508504843
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,out of sample,no noise,2d-high-strong,2,high,strong,2,1,-3.9287972,0.025093139876238835
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,out of sample,no noise,2d-high-weak,2,high,weak,2,1,-3.9125214999999995,0.0266132725440719
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,out of sample,no noise,2d-low-ind,2,low,ind,2,1,-3.4369527,0.026249532784875303
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,out of sample,no noise,2d-low-strong,2,low,strong,2,1,-3.390052,0.027451639792054828
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,out of sample,no noise,2d-low-weak,2,low,weak,2,1,-3.4304158,0.027541102329706253
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,out of sample,no noise,3d-high-ind,3,high,ind,2,1,-5.6211214,0.03666002325546055
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,out of sample,no noise,3d-high-strong,3,high,strong,2,1,-5.6972148,0.04050127675952328
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,out of sample,no noise,3d-high-weak,3,high,weak,2,1,-5.6596181,0.03647277780202599
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,out of sample,no noise,3d-low-ind,3,low,ind,2,1,-5.0847264,0.03901475213145413
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,out of sample,no noise,3d-low-strong,3,low,strong,2,1,-5.0203774,0.04525442347082503
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,out of sample,no noise,3d-low-weak,3,low,weak,2,1,-5.0779764,0.04006940931267459
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,out of sample,with noise,2d-high-ind,2,high,ind,2,1,-3.92046,0.02374471858342522
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,out of sample,with noise,2d-high-strong,2,high,strong,2,1,-3.9609521,0.02509257712668405
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,out of sample,with noise,2d-high-weak,2,high,weak,2,1,-3.9458362,0.026662523760757017
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,out of sample,with noise,2d-low-ind,2,low,ind,2,1,-3.4685108000000002,0.026399544711409283
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,out of sample,with noise,2d-low-strong,2,low,strong,2,1,-3.4234496,0.027229683480801667
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,out of sample,with noise,2d-low-weak,2,low,weak,2,1,-3.462069,0.027429937250671107
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,out of sample,with noise,3d-high-ind,3,high,ind,2,1,-5.6839585999999995,0.03612523891836682
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,out of sample,with noise,3d-high-strong,3,high,strong,2,1,-5.756454,0.04008653261345629
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,out of sample,with noise,3d-high-weak,3,high,weak,2,1,-5.720992300000001,0.03573906562612226
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,out of sample,with noise,3d-low-ind,3,low,ind,2,1,-5.1380821,0.03815357542574063
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,out of sample,with noise,3d-low-strong,3,low,strong,2,1,-5.0766489,0.04495001149189188
"(2,1)-Isolated Two-layer MoM",isomom,avg_ll,out of sample,with noise,3d-low-weak,3,low,weak,2,1,-5.1314989,0.039427482772397174
"(2,1)-Isolated Two-layer MoM",isomom,bic,in sample,no noise,2d-high-ind,2,high,ind,2,1,62215.1538568,227.77640110940806
"(2,1)-Isolated Two-layer MoM",isomom,bic,in sample,no noise,2d-high-strong,2,high,strong,2,1,62987.214933,244.68055197453197
"(2,1)-Isolated Two-layer MoM",isomom,bic,in sample,no noise,2d-high-weak,2,high,weak,2,1,62692.8347001,224.39138353582257
"(2,1)-Isolated Two-layer MoM",isomom,bic,in sample,no noise,2d-low-ind,2,low,ind,2,1,55074.0442634,240.41977103287462
"(2,1)-Isolated Two-layer MoM",isomom,bic,in sample,no noise,2d-low-strong,2,low,strong,2,1,54388.9076337,265.7767304061726
"(2,1)-Isolated Two-layer MoM",isomom,bic,in sample,no noise,2d-low-weak,2,low,weak,2,1,54990.1889466,235.73218722485967
"(2,1)-Isolated Two-layer MoM",isomom,bic,in sample,no noise,3d-high-ind,3,high,ind,2,1,90138.78639380001,245.19232221408993
"(2,1)-Isolated Two-layer MoM",isomom,bic,in sample,no noise,3d-high-strong,3,high,strong,2,1,91391.1686221,304.7971102588128
"(2,1)-Isolated Two-layer MoM",isomom,bic,in sample,no noise,3d-high-weak,3,high,weak,2,1,90746.5202795,242.2276225475551
"(2,1)-Isolated Two-layer MoM",isomom,bic,in sample,no noise,3d-low-ind,3,low,ind,2,1,81595.4251888,255.2743350571967
"(2,1)-Isolated Two-layer MoM",isomom,bic,in sample,no noise,3d-low-strong,3,low,strong,2,1,80580.9283812,340.54071389208104
"(2,1)-Isolated Two-layer MoM",isomom,bic,in sample,no noise,3d-low-weak,3,low,weak,2,1,81476.5656611,260.8842379133674
"(2,1)-Isolated Two-layer MoM",isomom,bic,in sample,with noise,2d-high-ind,2,high,ind,2,1,62764.0060542,226.9526902202114
"(2,1)-Isolated Two-layer MoM",isomom,bic,in sample,with noise,2d-high-strong,2,high,strong,2,1,63509.3218029,252.55182445186475
"(2,1)-Isolated Two-layer MoM",isomom,bic,in sample,with noise,2d-high-weak,2,high,weak,2,1,63227.9733403,228.33831923882585
"(2,1)-Isolated Two-layer MoM",isomom,bic,in sample,with noise,2d-low-ind,2,low,ind,2,1,55570.8923163,239.65089823579387
"(2,1)-Isolated Two-layer MoM",isomom,bic,in sample,with noise,2d-low-strong,2,low,strong,2,1,54929.741523599994,273.4622612342077
"(2,1)-Isolated Two-layer MoM",isomom,bic,in sample,with noise,2d-low-weak,2,low,weak,2,1,55498.600289899994,238.56537743994284
"(2,1)-Isolated Two-layer MoM",isomom,bic,in sample,with noise,3d-high-ind,3,high,ind,2,1,91138.89003909999,250.4719091881644
"(2,1)-Isolated Two-layer MoM",isomom,bic,in sample,with noise,3d-high-strong,3,high,strong,2,1,92345.7312398,311.4906626261396
"(2,1)-Isolated Two-layer MoM",isomom,bic,in sample,with noise,3d-high-weak,3,high,weak,2,1,91725.3456895,250.38410944350449
"(2,1)-Isolated Two-layer MoM",isomom,bic,in sample,with noise,3d-low-ind,3,low,ind,2,1,82439.5414032,262.4064157494674
"(2,1)-Isolated Two-layer MoM",isomom,bic,in sample,with noise,3d-low-strong,3,low,strong,2,1,81486.8907431,346.58119002825157
"(2,1)-Isolated Two-layer MoM",isomom,bic,in sample,with noise,3d-low-weak,3,low,weak,2,1,82329.6207363,266.31843173480473
"(2,1)-Isolated Two-layer MoM",isomom,bic,out of sample,no noise,2d-high-ind,2,high,ind,2,1,15656.718086300001,96.11250151475697
"(2,1)-Isolated Two-layer MoM",isomom,bic,out of sample,no noise,2d-high-strong,2,high,strong,2,1,15829.2014324,100.37344010038122
"(2,1)-Isolated Two-layer MoM",isomom,bic,out of sample,no noise,2d-high-weak,2,high,weak,2,1,15764.1017691,106.45306124262328
"(2,1)-Isolated Two-layer MoM",isomom,bic,out of sample,no noise,2d-low-ind,2,low,ind,2,1,13861.823581999999,104.99717519495059
"(2,1)-Isolated Two-layer MoM",isomom,bic,out of sample,no noise,2d-low-strong,2,low,strong,2,1,13674.223316200001,109.80628152750117
"(2,1)-Isolated Two-layer MoM",isomom,bic,out of sample,no noise,2d-low-weak,2,low,weak,2,1,13835.6775469,110.16475816133031
"(2,1)-Isolated Two-layer MoM",isomom,bic,out of sample,no noise,3d-high-ind,3,high,ind,2,1,22674.509799199997,146.63983040071105
"(2,1)-Isolated Two-layer MoM",isomom,bic,out of sample,no noise,3d-high-strong,3,high,strong,2,1,22978.8822097,162.0042680154104
"(2,1)-Isolated Two-layer MoM",isomom,bic,out of sample,no noise,3d-high-weak,3,high,weak,2,1,22828.4968162,145.89138885329842
"(2,1)-Isolated Two-layer MoM",isomom,bic,out of sample,no noise,3d-low-ind,3,low,ind,2,1,20528.9293732,156.05969217647663
"(2,1)-Isolated Two-layer MoM",isomom,bic,out of sample,no noise,3d-low-strong,3,low,strong,2,1,20271.5320543,181.01868388674978
"(2,1)-Isolated Two-layer MoM",isomom,bic,out of sample,no noise,3d-low-weak,3,low,weak,2,1,20501.9288076,160.2782226553658
"(2,1)-Isolated Two-layer MoM",isomom,bic,out of sample,with noise,2d-high-ind,2,high,ind,2,1,15795.8529892,94.98011920863537
"(2,1)-Isolated Two-layer MoM",isomom,bic,out of sample,with noise,2d-high-strong,2,high,strong,2,1,15957.8224208,100.37038359077788
"(2,1)-Isolated Two-layer MoM",isomom,bic,out of sample,with noise,2d-high-weak,2,high,weak,2,1,15897.357607,106.65214908414585
"(2,1)-Isolated Two-layer MoM",isomom,bic,out of sample,with noise,2d-low-ind,2,low,ind,2,1,13988.058597899999,105.59836219052316
"(2,1)-Isolated Two-layer MoM",isomom,bic,out of sample,with noise,2d-low-strong,2,low,strong,2,1,13807.813123000002,108.9179349989399
"(2,1)-Isolated Two-layer MoM",isomom,bic,out of sample,with noise,2d-low-weak,2,low,weak,2,1,13962.2901101,109.72154112343306
"(2,1)-Isolated Two-layer MoM",isomom,bic,out of sample,with noise,3d-high-ind,3,high,ind,2,1,22925.8586917,144.49960107228662
"(2,1)-Isolated Two-layer MoM",isomom,bic,out of sample,with noise,3d-high-strong,3,high,strong,2,1,23215.8400505,160.34619039591576
"(2,1)-Isolated Two-layer MoM",isomom,bic,out of sample,with noise,3d-high-weak,3,high,weak,2,1,23073.9933271,142.9564208173012
"(2,1)-Isolated Two-layer MoM",isomom,bic,out of sample,with noise,3d-low-ind,3,low,ind,2,1,20742.3511511,152.6133350197703
"(2,1)-Isolated Two-layer MoM",isomom,bic,out of sample,with noise,3d-low-strong,3,low,strong,2,1,20496.6178737,179.79938508166865
"(2,1)-Isolated Two-layer MoM",isomom,bic,out of sample,with noise,3d-low-weak,3,low,weak,2,1,20716.0184038,157.7107465786626
"(2,1)-Isolated Two-layer MoM",isomom,em_iters,training,no noise,2d-high-ind,2,high,ind,2,1,21.01,0.6741249472052231
"(2,1)-Isolated Two-layer MoM",isomom,em_iters,training,no noise,2d-high-strong,2,high,strong,2,1,20.96,0.7095310729167137
"(2,1)-Isolated Two-layer MoM",isomom,em_iters,training,no noise,2d-high-weak,2,high,weak,2,1,21.0,0.6963106238227914
